iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
2,q101,130.345,2.535,132.88,1.7118
2,q102,199.378,2.121,201.499,1.4307
2,q103,183.993,2.766,186.759,3.3512
2,q104,3036.72,2.737,3039.457,2.0296
2,q105,7158.347,2.956,7161.303,2.2684
2,q106,1991.572,3.307,1994.879,2.0513
2,q107,23120.391,3.033,23123.424,4.6452
2,q109,87.522,4.645,92.167,1.5095
2,q110,58.38,4.13,62.51,1.4202
2,q111,106.675,4.304,110.979,1.3535
2,q112,103.416,4.454,107.87,1.4578
2,q113,717.014,2.46,719.474,1.5227
2,q114,713.203,3.355,716.558,1.3751
2,q115,1538.183,2.87,1541.053,1.6806
2,q116,178.154,2.914,181.068,2.0887
2,q117,137.446,2.398,139.844,1.6071
2,q118,94.903,2.628,97.531,1.3231
2,q119,146.43,2.929,149.359,1.9258
2,q121,121.131,3.95,125.081,1.2047
2,q123,4681.255,2.497,4683.752,2.9056
2,q124,565.4,2.839,568.239,1.8603
2,q125,74.063,2.912,76.975,2.3962
2,q127,56.016,5.113,61.129,1.7209
2,q128,66.783,5.935,72.718,1.8704
2,q129,92.792,4.804,97.596,1.6674
2,q130,38.392,4.329,42.721,1.2671
2,q131,203.764,6.098,209.862,3.0746
2,q132,52.25,5.961,58.211,2.3503
2,q133,2308.467,5.316,2313.783,5.3883
2,q134,131.5,5.85,137.35,7.5171
2,q137,46.476,5.129,51.605,1.9367
2,q138,826.012,3.375,829.387,5.738
2,q139,248.978,5.983,254.961,1.4508
2,q140,5678.99,13.876,5692.866,2.23
2,q141,10917.427,10.451,10927.878,1.3991
2,q142,11602.959,14.237,11617.196,1.8192
2,q143,7681.608,12.33,7693.938,2.1669
2,q144,1048.622,5.755,1054.377,1.4232
2,q145,89.544,8.325,97.869,1.3851
2,q146,134.453,7.519,141.972,1.3363
3,q001,39.156,0.893,40.049,1.3349
3,q002,414.496,0.997,415.493,2.5085
3,q003,105.384,1.059,106.443,1.4736
3,q004,127.265,1.078,128.343,1.3765
3,q005,251.007,1.003,252.01,1.2736
3,q006,85.03,1.136,86.166,1.5608
3,q007,81.685,1.526,83.211,1.1685
3,q008,114.7,1.606,116.306,1.5415
3,q009,99.321,1.504,100.825,1.4873
3,q010,83.706,1.937,85.643,1.368
3,q011,54.126,2.247,56.373,1.8556
3,q012,84.965,1.769,86.734,1.3217
3,q013,48.506,1.575,50.081,1.7427
3,q014,14.141,1.714,15.855,4.0818
3,q015,524.706,1.69,526.396,2.4787
3,q016,51.797,1.86,53.657,3.8166
3,q017,9.943,1.283,11.226,3.0271
3,q018,33.927,1.513,35.44,1.4061
3,q019,27.396,1.342,28.738,1.3237
3,q020,55.904,1.663,57.567,2.4327
3,q021,32.575,1.648,34.223,2.8484
3,q022,91.191,1.643,92.834,1.4984
3,q023,31.443,1.389,32.832,1.5261
3,q024,21.816,1.51,23.326,1.1906
3,q025,47.697,2.668,50.365,1.6719
3,q026,33.012,2.11,35.122,1.1584
3,q027,26.446,3.222,29.668,1.8029
3,q028,604.88,1.893,606.773,1.2625
3,q029,112.221,2.843,115.064,1.3965
3,q030,13979.32,2.504,13981.824,2.7781
3,q031,403.267,2.754,406.021,2.9423
3,q032,646.873,3.528,650.401,2.6316
3,q033,12.53,3.198,15.728,3.2825
3,q034,32744.228,2.392,32746.62,2.2003
3,q035,127.456,2.954,130.41,2.2901
3,q036,16.838,2.841,19.679,2.656
3,q037,118.692,2.264,120.956,1.3931
3,q038,3458.637,2.902,3461.539,1.7922
3,q039,120.389,3.158,123.547,3.025
3,q040,25.837,2.579,28.416,1.4298
3,q041,10.441,2.922,13.363,1.2425
3,q042,99.548,2.214,101.762,1.6579
3,q043,346.302,2.818,349.12,1.4684
3,q044,115.765,4.204,119.969,1.3448
3,q045,7.617,3.141,10.758,2.2936
3,q046,68.318,6.006,74.324,1.9748
3,q047,79735.299,5.382,79740.681,7.5901
3,q048,7.98,4.403,12.383,5.2687
3,q049,961.018,6.786,967.804,2.8834
3,q050,46.301,5.853,52.154,2.8454
3,q051,4414.525,5.63,4420.155,3.6785
3,q052,7768.844,6.042,7774.886,3.1913
3,q053,62.314,2.901,65.215,1.4438
3,q054,7.916,3.568,11.484,3.5049
3,q055,5.868,3.131,8.999,1.2424
3,q056,830.668,2.69,833.358,5.4071
3,q057,38.355,3.765,42.12,2.4705
3,q059,5820.838,8.155,5828.993,3.9685
3,q060,476.758,4.558,481.316,1.5428
3,q061,73.971,7.44,81.411,1.7181
3,q062,37.948,6.475,44.423,1.6283
3,q063,49.576,7.378,56.954,1.7148
3,q064,129.249,7.1,136.349,2.027
3,q065,36.915,6.941,43.856,2.1889
3,q066,302.299,7.351,309.65,2.7193
3,q067,13.93,7.931,21.861,3.3175
3,q068,35105.991,5.432,35111.423,1.4316
3,q069,3973.342,6.873,3980.215,1.5912
3,q070,3110.591,8.42,3119.011,2.2324
3,q071,3219.374,5.935,3225.309,1.8329
3,q072,86.473,6.146,92.619,3.5418
3,q073,120.272,7.13,127.402,1.9588
3,q074,1544.748,6.252,1551.0,1.4339
3,q075,273.731,8.181,281.912,1.5987
3,q076,106.864,7.134,113.998,2.2727
3,q077,359.691,7.216,366.907,1.5824
3,q078,34.482,5.915,40.397,3.6865
3,q079,237.805,6.078,243.883,2.2881
3,q080,92.087,2.119,94.206,1.489
3,q081,46.914,1.813,48.727,2.2773
3,q082,14891.651,1.793,14893.444,2.7581
3,q083,129.07,1.726,130.796,1.2164
3,q084,399.28,1.753,401.033,2.5721
3,q085,1273.679,1.555,1275.234,1.9396
3,q086,122.202,1.98,124.182,1.9208
3,q087,80.341,1.681,82.022,1.7666
3,q088,425.076,1.733,426.809,4.109
3,q089,100.142,1.799,101.941,1.4346
3,q090,110.975,1.837,112.812,1.567
3,q091,298.291,1.773,300.064,2.0882
3,q092,51.337,1.494,52.831,1.6262
3,q093,71.859,1.579,73.438,3.1458
3,q094,42.761,1.506,44.267,3.0192
3,q095,195.642,2.188,197.83,1.3662
3,q096,178.577,2.708,181.285,2.3112
3,q097,2235.615,3.692,2239.307,3.5363
3,q098,2010.465,3.007,2013.472,2.222
3,q099,98.11,2.675,100.785,2.7908
3,q100,111.738,2.417,114.155,1.167
3,q101,135.765,2.622,138.387,2.3832
3,q102,146.246,2.138,148.384,1.6239
3,q103,245.785,2.781,248.566,2.3772
3,q104,3045.601,2.808,3048.409,2.1343
3,q105,8681.669,2.926,8684.595,4.281
3,q106,1973.534,3.28,1976.814,2.3234
3,q107,17036.596,2.973,17039.569,3.5749
3,q109,87.176,4.655,91.831,1.5602
3,q110,57.351,4.049,61.4,1.5278
3,q111,102.587,4.323,106.91,1.5104
3,q112,102.516,4.371,106.887,1.6661
3,q113,751.049,2.402,753.451,1.8705
3,q114,719.554,3.282,722.836,1.4268
3,q115,1567.354,2.697,1570.051,1.7004
3,q116,65.079,2.912,67.991,3.8412
3,q117,137.001,2.475,139.476,1.742
3,q118,98.088,2.56,100.648,1.4824
3,q119,150.137,2.904,153.041,2.0055
3,q121,96.55,3.917,100.467,1.3709
3,q123,4701.623,2.613,4704.236,3.0007
3,q124,289.156,2.75,291.906,2.3721
3,q125,73.706,2.94,76.646,2.9902
3,q127,66.725,5.035,71.76,2.0979
3,q128,66.736,5.905,72.641,2.2148
3,q129,93.159,4.875,98.034,1.8741
3,q130,38.163,4.425,42.588,1.4615
