iteration,query,exec_time_ms,plan_time_ms,total_time_ms,avg_qerror
3,1c,39.623,2.206,41.829,1.08
3,1d,38.828,2.093,40.921,1.1386
3,20a,1861.274,24.431,1885.705,2.5713
3,20b,1388.114,24.661,1412.775,3.6152
3,20c,736.113,24.391,760.504,4.5214
3,21a,40.034,22.386,62.42,2.4296
3,21b,17.792,21.522,39.314,1.5769
3,21c,36.568,22.379,58.947,5.0726
3,22a,1057.056,60.839,1117.895,7.0581
3,22b,208.996,59.946,268.942,2.8057
3,22c,2005.932,61.261,2067.193,19.8547
3,22d,2968.798,60.04,3028.838,22.2406
3,23a,153.247,54.037,207.284,1.7211
3,23b,28.942,52.15,81.092,1.9084
3,23c,443.106,53.84,496.946,1.4542
3,24a,126.192,520.399,646.591,2.2688
3,24b,18.342,571.651,589.993,2.9535
3,25a,679.814,19.3,699.114,12.8003
3,25b,144.284,20.12,164.404,2.5571
3,25c,1907.663,20.084,1927.747,17.0756
3,26a,3389.778,465.208,3854.986,10.7538
3,26b,82.655,444.866,527.521,2.7379
3,26c,11213.266,434.791,11648.057,12.8925
3,27a,26.95,506.329,533.279,3.0532
3,27b,7.769,501.173,508.942,2.7911
3,27c,11.401,510.053,521.454,2.5166
3,28a,449.633,701.103,1150.736,4.9926
3,28b,756.138,683.83,1439.968,6.9196
3,28c,1824.19,701.238,2525.428,8.9147
3,29a,20.8,1013.119,1033.919,3.2741
3,29b,11.765,1014.058,1025.823,1.5312
3,29c,294.384,945.593,1239.977,12.7932
3,2a,186.532,1.925,188.457,1.5717
3,2b,181.923,2.262,184.185,1.6058
3,2c,14.139,2.24,16.379,1.3077
3,2d,273.89,1.897,275.787,1.6776
3,30a,265.798,519.011,784.809,3.9357
3,30b,584.082,567.39,1151.472,5.49
3,30c,1159.544,496.849,1656.393,8.5762
3,31a,133.311,71.624,204.935,7.9088
3,31b,21.748,72.002,93.75,2.3489
3,31c,141.307,71.346,212.653,8.7798
3,32a,8.714,2.818,11.532,3.4769
3,32b,102.044,2.481,104.525,47.8019
3,33a,9.791,564.902,574.693,1.8148
3,33b,98.423,532.977,631.4,5.9226
3,33c,117.589,556.513,674.102,8.2067
3,3a,126.34,1.824,128.164,1.0383
3,3b,85.152,1.791,86.943,1.0383
3,3c,201.295,1.951,203.246,1.0383
3,4a,88.313,2.33,90.643,1.0321
3,4b,32.106,2.21,34.316,1.1108
3,4c,89.85,2.073,91.923,1.1172
3,5a,66.814,2.517,69.331,1.0188
3,5b,63.392,2.396,65.788,1.0187
3,5c,97.142,2.451,99.593,1.1148
3,6a,23.363,2.188,25.551,1.3629
3,6b,173.876,2.15,176.026,1.3029
3,6c,6.644,2.436,9.08,1.54
3,6d,3171.321,2.144,3173.465,1.4001
